Country Code,Region,sd_Y,sd_C,sd_I,sd_TB,sdC_over_sdY,sdI_over_sdY
ARG,Latin America & Caribbean,8.962099334363547,8.802665835570423,23.415558203104997,3.246273846348159,0.9822102508748363,2.612731384634656
BDI,Sub-Saharan Africa,8.573394405246427,8.972464198757365,50.697877923768765,5.109725315315037,1.0465474670413775,5.9133962031123355
BEN,Sub-Saharan Africa,3.4944298540925165,7.26354841760911,20.78633942679174,4.462151427721355,2.078607590048595,5.9484208568238195
BFA,Sub-Saharan Africa,3.5484631323467686,11.057294308810786,22.76716621800969,3.208211212994997,3.1160798059350463,6.416063903967539
BRA,Latin America & Caribbean,10.126083326011274,13.274893948661731,19.454315145390957,2.2703292702804623,1.3109603704881612,1.9212082815295308
BWA,Sub-Saharan Africa,9.326016635825205,11.813461633113851,37.65168059331867,11.46932556497409,1.2667210551322963,4.037273582451324
CAF,Sub-Saharan Africa,8.442335612889998,12.362778252677328,26.46766281128744,4.1165030739846324,1.464378913555804,3.135111422350452
CHL,Latin America & Caribbean,9.622969648702933,9.47869810615108,23.680261226648653,3.822293406485227,0.9850075862422264,2.4608059768577246
CIV,Sub-Saharan Africa,17.992057855900804,5.9178875262264254,44.29322039392681,3.996048321610097,0.3289166572063658,2.461820696035617
CMR,Sub-Saharan Africa,15.282101336372792,14.09686498990252,32.79165725465582,2.8268727372478595,0.9224428420946731,2.1457557787952033
COG,Sub-Saharan Africa,12.598966206609063,20.44665754834513,39.092404124492084,14.875034777710724,1.6228837519716013,3.102826333797555
COL,Latin America & Caribbean,5.330593202774082,5.470576732846795,15.198451936116687,2.7852071557655695,1.026260403813944,2.85117459876835
COM,Sub-Saharan Africa,3.7508919651942065,4.492300250438944,5.70722531732273,1.2969838682747106,1.1976618607319314,1.5215648358529121
GAB,Sub-Saharan Africa,17.92487346254374,20.063679964159466,33.69096508137898,9.446536251632942,1.1193205913606603,1.8795650162764301
GHA,Sub-Saharan Africa,8.119475335567671,8.057148078346101,24.387920663029075,5.9297784730687555,0.9923237334131009,3.0036325815532514
GIN,Sub-Saharan Africa,3.3037230877110315,13.180625369462504,20.772801464218162,8.933408268148238,3.9896277682869106,6.2876944927640706
GMB,Sub-Saharan Africa,5.271251203996778,9.310589797168058,56.05979525607172,5.726872179610787,1.7662959773399842,10.63500734200752
GNB,Sub-Saharan Africa,6.318789423970976,8.972863778480408,25.79929174883909,7.615218097955596,1.4200289290288624,4.0829484918371906
HKG,East Asia & Pacific,5.952806553465924,6.193044139526805,20.263143975877,4.489716937007631,1.0403570288910207,3.4039648011204258
IDN,East Asia & Pacific,7.026708912781429,6.8201419922228235,25.839027616710748,3.2638727776642047,0.970602607405173,3.6772588615005986
KEN,Sub-Saharan Africa,8.877901747037651,6.926278071874894,23.457869677114573,3.149478358484623,0.780170615673465,2.642276333475071
KOR,East Asia & Pacific,7.021275246143582,8.536643783547744,12.000831290706907,3.040621299408829,1.2158252574183692,1.7092096335773668
MDG,Sub-Saharan Africa,7.224383316032281,15.659596975138221,44.36980159606488,3.8131840674630872,2.167603280460852,6.141673227332754
MEX,Latin America & Caribbean,5.689221267719001,3.883758914127496,12.603353495957546,2.402308250619707,0.6826521120147301,2.215303800446252
MLI,Sub-Saharan Africa,5.295678509372298,10.854355510043748,11.58488063702785,4.997282656780727,2.0496628507251144,2.1876102592944253
MRT,Sub-Saharan Africa,9.56758124185069,13.386033829882452,41.77415835401606,11.477804206787596,1.3991032311624403,4.3662193503292945
MUS,Sub-Saharan Africa,8.34573594969486,4.984261050757945,18.939800427358435,4.415463092712449,0.5972224715473032,2.2693984738459068
MYS,East Asia & Pacific,4.820418828252572,6.685329030432594,21.831353865257157,7.257638289778858,1.3868772130856648,4.528932991735728
NAM,Sub-Saharan Africa,6.510826819127946,10.59577848601815,29.40332109984655,6.935411287973254,1.6274090496293279,4.516065611431023
NER,Sub-Saharan Africa,8.520572933715489,9.41799302575622,42.12209818380374,3.8117759573571037,1.1053239141337179,4.943575803116322
PER,Latin America & Caribbean,14.062654714680006,14.587637236818162,24.264453302883805,3.8169216868734908,1.0373316797425258,1.7254532515510135
PHL,East Asia & Pacific,10.407854400848287,1.8821865464235144,17.60211909246455,2.951121017898418,0.1808428974823195,1.691234178970634
RWA,Sub-Saharan Africa,17.57774199391829,12.622228355156755,33.996522601826314,6.50055509842651,0.7180801925255195,1.934066537874361
SDN,Sub-Saharan Africa,11.026007817835511,12.239325764002036,43.22572313042418,3.7851845361088126,1.1100414552766669,3.9203421441895654
SEN,Sub-Saharan Africa,3.5168827847537076,6.95236547766924,14.36027341379168,3.236472279734219,1.9768544768705232,4.083239133259129
SGP,East Asia & Pacific,5.411302207729348,5.644032128948267,24.80333750695961,4.776863801538029,1.0430081175075558,4.583617132218422
SYC,Sub-Saharan Africa,7.382176191686479,21.612995097257365,29.019614048928982,8.480567519131913,2.9277268025107666,3.93103785325657
TCD,Sub-Saharan Africa,11.894924278966048,10.64343304643716,30.544310471198504,14.276574096379887,0.8947877932487627,2.5678440446409914
TGO,Sub-Saharan Africa,12.082552016548263,11.300919554191195,38.235070232715906,6.370387180181641,0.9353089925632809,3.164486292328736
THA,East Asia & Pacific,6.859592397891344,4.700725020834096,21.0108694599146,3.9919916237019897,0.6852776007914275,3.0629909535693978
TZA,Sub-Saharan Africa,11.20432961756187,7.333088803827318,22.921568138429706,4.4926925338402,0.654487064744445,2.045777741356522
UGA,Sub-Saharan Africa,5.8447251565963265,6.39646481025132,12.346182121535179,2.7482975312422395,1.0943995891803917,2.1123631634930415
