Region,sd_Y_mean,sd_Y_sd,sd_C_mean,sd_C_sd,sd_I_mean,sd_I_sd,sd_TB_mean,sd_TB_sd
East Asia & Pacific,6.785708363873212,1.8112635760199542,5.780300377419406,2.0835657440154023,20.478668972555795,4.650159827015624,4.253117963856852,1.5038599434994773
Latin America & Caribbean,9.010286161711853,2.937987457962567,10.015920285578256,4.333603856834824,22.379764403007965,8.239419663160069,3.734536156932224,1.8968392582165534
Sub-Saharan Africa,9.150623621892716,4.339903830901285,10.782754984007072,4.313986364836987,31.05110722880958,13.066323863646103,6.02699099901477,3.393285269792683
