Region,corr_Y_C_mean,corr_Y_C_sd,corr_Y_I_mean,corr_Y_I_sd,corr_Y_TB_mean,corr_Y_TB_sd,corr_C_I_mean,corr_C_I_sd,corr_C_TB_mean,corr_C_TB_sd,corr_I_TB_mean,corr_I_TB_sd
East Asia & Pacific,0.5517218933409974,0.12167776127873106,0.6528972805335245,0.20313337362514694,-0.3030814656180222,0.1990320504036835,0.3183463551251281,0.31987075257196784,-0.5387876401368601,0.22378718246564336,-0.6266593574619018,0.2701419524107292
Latin America & Caribbean,0.651535721143072,0.17912795348714117,0.7442715224437638,0.08926574401558945,-0.4842232046348305,0.14719323661772013,0.4337395156360664,0.3076191673792002,-0.6902830781837573,0.17719886244646377,-0.607694051961166,0.17980953748404024
Sub-Saharan Africa,0.4062756428972249,0.2940922550536267,0.335758298194814,0.2450400745902184,0.018043235492778902,0.2525925384336279,0.024073378233221036,0.332183644938037,-0.4484218108732961,0.19743395849012996,-0.37489562493491957,0.28952652214422375
