Region,sdC_over_sdY_mean,sdC_over_sdY_sd,sdI_over_sdY_mean,sdI_over_sdY_sd
East Asia & Pacific,1.145461737603826,0.29239112044635684,4.388330078675297,0.9163570076421222
Latin America & Caribbean,1.4416549138262642,0.27899386172666213,4.179813440452085,1.2807086234464506
Sub-Saharan Africa,1.818832933037579,0.9671134767901044,4.8915586409314935,2.117069947042194
