Region,corr_Y_C_mean,corr_Y_C_sd,corr_Y_I_mean,corr_Y_I_sd,corr_Y_TB_mean,corr_Y_TB_sd,corr_C_I_mean,corr_C_I_sd,corr_C_TB_mean,corr_C_TB_sd,corr_I_TB_mean,corr_I_TB_sd
East Asia & Pacific,0.6243844954722468,0.12377359258797903,0.7052162857206214,0.14926354390851157,-0.36194353107343824,0.22575897827603356,0.3753169833203622,0.3403602591493496,-0.5546322220181303,0.22223595599562396,-0.6566311719650295,0.28514494087633596
Latin America & Caribbean,0.6960210026013897,0.12917344997361196,0.756899846825087,0.07432645694637648,-0.4590525231381901,0.14747137344376968,0.483164014603793,0.2589839223566335,-0.6902708104524209,0.1498037811049023,-0.599690690911264,0.14333867992756102
Sub-Saharan Africa,0.46015545412775966,0.2866210458225819,0.3974227947074037,0.23228467161303873,-0.02014749129967024,0.2612411352987608,0.0690969325152746,0.3403852903152073,-0.4113117563021178,0.2404761140014936,-0.40108385734361224,0.2686623247938862
