Region,acf_Y_mean,acf_Y_sd,acf_C_mean,acf_C_sd,acf_I_mean,acf_I_sd,acf_TB_mean,acf_TB_sd
East Asia & Pacific,0.8550861944278213,0.07095814250068401,0.7584553212325461,0.08326004002114193,0.720841699825789,0.12515378263587446,0.6790185564013598,0.10645196477951746
Latin America & Caribbean,0.8889813944578744,0.047785565068097446,0.7808353103892066,0.1275670224836157,0.7166388951029101,0.10034987877928145,0.649547465793429,0.09911375937807147
Sub-Saharan Africa,0.7865687464674138,0.12670509480715034,0.6501654148514768,0.1854376122262575,0.6478878038076338,0.18739584441918694,0.5728805225063583,0.17920880662073052
