Region,sd_dlogY_mean,sd_dlogY_sd,sd_dlogC_mean,sd_dlogC_sd,sd_dlogI_mean,sd_dlogI_sd,sd_TB_mean,sd_TB_sd
East Asia & Pacific,3.477016556343572,0.414070953413325,3.9482138970145413,0.9012537966074775,14.98950877893471,2.034205987288599,6.954363740098474,4.233164851319886
Latin America & Caribbean,4.099017027139832,1.1768218188923991,5.9897294044227,2.3363279893510303,16.889553452742426,6.967149240697901,3.9755319622598275,1.9032172431495524
Sub-Saharan Africa,5.2485792341498545,2.0841124104500697,8.79889007910204,4.312598120275537,23.654826529223655,9.053115993676169,7.9413681457564715,5.024124043050807
