Country Code,Region,acf_Y,acf_C,acf_I,acf_TB
ARG,Latin America & Caribbean,0.16772202718506718,0.17300779328011823,0.18120539285563333,0.11424849861901494
BDI,Sub-Saharan Africa,-0.11973987636945047,-0.019197989268618904,-0.18353806929367175,0.053089679996587376
BEN,Sub-Saharan Africa,0.12033354941643865,0.15764555054625853,-0.09339069760640034,0.09957253197931387
BFA,Sub-Saharan Africa,-0.023718402531884248,0.04969164338734805,-0.003626490870375733,-0.1506633535616299
BRA,Latin America & Caribbean,0.31622869907544837,-0.12966864980473525,0.1762972313492913,0.17151832748138504
BWA,Sub-Saharan Africa,0.29635810348307356,0.20986396818823275,0.1923390623658831,0.0635667888001262
CAF,Sub-Saharan Africa,0.10428073452618528,-0.07009915391775286,-0.05083722879306091,-0.13383327567849113
CHL,Latin America & Caribbean,0.36187464269709085,0.23987059850614653,-0.17186830831721234,-0.17741520173486225
CIV,Sub-Saharan Africa,0.1835863526192131,0.0016518275704922405,-0.016168436150652162,0.1496814588649366
CMR,Sub-Saharan Africa,4.707872418613025e-4,-0.26210837497230843,-0.06493316611499024,-0.26767701193017984
COG,Sub-Saharan Africa,0.4004035177478377,0.019280741437971066,0.25133939471085737,0.07469053311427973
COL,Latin America & Caribbean,0.42361818209062535,0.01858651023423534,0.002861830719302091,-0.00458401183331052
COM,Sub-Saharan Africa,-0.14024924779778186,0.02740829766623033,-0.0987670464310203,-0.04540615337313355
GAB,Sub-Saharan Africa,0.3387068076032007,-0.14273880910959882,0.09979053455547299,0.04725255434452645
GHA,Sub-Saharan Africa,0.3098915332574142,-0.024038044963158183,0.09357645697218678,-0.24786735712230654
GIN,Sub-Saharan Africa,-0.11725283453794257,0.19273572578502537,-0.16612513793181344,-0.14879477309512637
GMB,Sub-Saharan Africa,0.04253367576922377,-0.05564736356487159,-0.04110419818959382,0.17671977117713664
GNB,Sub-Saharan Africa,-0.24016139096284272,-0.09165665769468093,-0.07115345907328217,-0.13061332859140892
HKG,East Asia & Pacific,0.17394379690420603,0.05223934570832135,0.43254757531887067,0.048015854350558544
IDN,East Asia & Pacific,0.2347728782119661,0.006599076370511136,-0.039965063147998706,0.03203574100280196
KEN,Sub-Saharan Africa,0.09838670077413257,0.07073403363218726,-0.08425947215538006,-0.02769022095758604
KOR,East Asia & Pacific,0.11933509267154295,0.07629389251901175,0.047337642320860976,0.17341872625377677
MDG,Sub-Saharan Africa,0.08150409374473906,-0.15905662154787065,0.129161916917722,0.06044250455999012
MEX,Latin America & Caribbean,0.24715682781571016,0.057615142303451106,0.1418107038538033,0.23011330708739305
MLI,Sub-Saharan Africa,0.008868711906639015,-0.08056396081806452,-0.3997821215591568,0.031068771800213803
MRT,Sub-Saharan Africa,0.007321495364237176,-0.1391319222209003,0.03100098473844272,-0.0033072827169034914
MUS,Sub-Saharan Africa,-0.14371353997831857,0.1365051619809196,-0.1438638296767837,0.08778109853683479
MYS,East Asia & Pacific,0.11383957245142293,0.21156404125632647,0.20114623298291315,0.17810829711961415
NAM,Sub-Saharan Africa,0.22731352915646302,-0.1336174567444379,-0.02086108606375895,-0.006545117893206158
NER,Sub-Saharan Africa,0.09952286072811346,-0.23283759919901384,-0.06786455065753871,-0.0702845953656573
PER,Latin America & Caribbean,0.41887658644747056,0.26011634699201946,0.3217804108944704,0.2837971690640006
PHL,East Asia & Pacific,0.45661233396013495,0.22365157474586414,0.27946948726315013,0.19274770869746485
RWA,Sub-Saharan Africa,-0.21870702615910245,0.02247339664398005,-0.3136835456445056,-0.2550683944968239
SDN,Sub-Saharan Africa,0.2922622482761805,0.1955187898429405,-0.07727971006890483,0.03350196188612165
SEN,Sub-Saharan Africa,-0.13364014701569468,-0.028947047292919904,0.04365977556457387,0.03217440691999501
SGP,East Asia & Pacific,0.2067728893703032,0.22140370963887773,-0.0036619834361418927,0.05210519776271904
SYC,Sub-Saharan Africa,0.12868279235475943,-0.04003037394084834,0.019724977594160566,-0.20149177128962664
TCD,Sub-Saharan Africa,0.19961010915997057,-0.37084602553413953,0.3064884790633338,0.14563154074061999
TGO,Sub-Saharan Africa,0.14495496883048486,-0.12247804649617768,-0.09064935590661524,-0.2525799930255177
THA,East Asia & Pacific,0.32789580873724616,0.07672267245622055,0.17506078235747735,0.1852126243783256
TZA,Sub-Saharan Africa,0.13860133938543168,0.2571534507212931,0.0603905385557875,0.18459193812844804
UGA,Sub-Saharan Africa,0.25083336053816374,-0.04628842369635284,-0.1931833934313562,-0.019201078902706118
VEN,Latin America & Caribbean,0.20535231036986645,0.03736200471106226,0.14291047440797297,0.11203763658876723
ZAF,Sub-Saharan Africa,0.3114687328093172,0.28498088319641623,0.1544161525344396,0.22525584316660804
ZWE,Sub-Saharan Africa,0.3055870809511981,0.09059799392183568,0.06958562469010221,-0.1361741338496841
