Region,acf_Y_mean,acf_Y_sd,acf_C_mean,acf_C_sd,acf_I_mean,acf_I_sd,acf_TB_mean,acf_TB_sd
East Asia & Pacific,0.2333103389009746,0.12268154876762277,0.12406775895644759,0.09176867198473203,0.15599066766559025,0.16823918180797542,0.12309202136646585,0.07442810635269442
Latin America & Caribbean,0.3058327536687541,0.10207418937117438,0.0938413923174711,0.1386611621151851,0.11357110510903728,0.15665809613555326,0.10424510361034116,0.15488949338293825
Sub-Saharan Africa,0.09530002000939553,0.17738460152498614,-0.009775561498728531,0.15398615622360615,-0.023535390237287047,0.15100494860571062,-0.02039278896239514,0.14082163939069783
