Country Code,Region,corr_Y_C,corr_Y_I,corr_Y_TB,corr_C_I,corr_C_TB,corr_I_TB
ARG,Latin America & Caribbean,0.8476531738928584,0.8570984852983026,-0.6970556604513962,0.7868905613275063,-0.8889884597184571,-0.652311165992834
BDI,Sub-Saharan Africa,0.6773992518592188,0.09930978936528688,-6.060884346639502e-4,-0.18360887966442746,-0.5289664879096777,-0.2086288574114025
BEN,Sub-Saharan Africa,0.5952946220174031,0.21292922589397176,-0.14661108902914255,-0.20776782043151695,-0.5385290913160335,-0.43403174174496273
BFA,Sub-Saharan Africa,0.46416458705612845,0.43013500272572847,-0.2202330332476634,-0.2960269769218857,-0.508040168435299,-0.25132948032871183
BRA,Latin America & Caribbean,0.39606190512090117,0.7241930884892116,-0.3735497524499487,0.006480533198351671,-0.33053267621031257,-0.2905828229303484
BWA,Sub-Saharan Africa,0.14286736247543444,0.3259292912228484,0.3209370373105164,0.32115871564083426,-0.5510904972323649,-0.6065568194428386
CAF,Sub-Saharan Africa,0.8204597739207563,0.44641637276159885,0.045847094267910816,0.15735207179926103,-0.2523994676251427,-0.31199532392520024
CHL,Latin America & Caribbean,0.6838484282003398,0.626075688489736,-0.41602789447665156,0.07750892625733792,-0.6366543111442191,-0.4459207740448608
CIV,Sub-Saharan Africa,0.4654486632611548,0.5255155639835575,-0.13956571502042103,0.24031085907581948,-0.7484457182112286,-0.36133155612204865
CMR,Sub-Saharan Africa,0.6010191566122953,0.6122497571389445,-0.14621322585025792,0.13282708104197002,-0.6192393240730231,-0.3643323327646321
COG,Sub-Saharan Africa,0.024937391821202685,0.2992257386583529,0.13755923026957279,0.24546962654913895,-0.6060103349621908,-0.7075116952346039
COL,Latin America & Caribbean,0.6310023777415543,0.6364111377149504,-0.2696423007882904,0.6518255417815967,-0.7058187250920566,-0.7563531710199125
COM,Sub-Saharan Africa,0.9445467238037782,0.5992722399177685,-0.21222595597496244,0.5758570597572202,-0.4374947052397531,-0.6312743415918024
GAB,Sub-Saharan Africa,-0.24078270946029365,0.8217153209082265,-0.20229969718030302,-0.06506572323264995,-0.6206626934752514,-0.5766219189514299
GHA,Sub-Saharan Africa,0.6597621535920113,0.20630474490397335,-0.21665959301218107,-0.5195550407600332,-0.4305280604046458,-0.37932159896173967
GIN,Sub-Saharan Africa,0.06830053490160162,0.11087549440685689,0.12000637781437364,0.35482360968390014,-0.5756280074786587,-0.8144035158952558
GMB,Sub-Saharan Africa,0.23887264935742702,0.18967010662804856,0.08782147960388474,-0.23775804113717047,-0.2377408222181887,-0.17892099182686083
GNB,Sub-Saharan Africa,0.6558294863850741,0.26369235615387804,-0.23390475253652945,0.059943794473473803,-0.5397445623102222,-0.7032394881747164
HKG,East Asia & Pacific,0.5902971157114456,0.761656939329757,-0.19728440700170977,0.28494860381213294,-0.4776809294303411,-0.5761363368877037
IDN,East Asia & Pacific,0.3390608166675166,0.27446153723474076,-0.2501582525267283,-0.2501283113674811,-0.5324055824327423,-0.05820788050188987
KEN,Sub-Saharan Africa,0.7095001451545694,0.3819702703155386,-0.22799148423387972,-0.021277784696627576,-0.5580037091984738,-0.3818146251708637
KOR,East Asia & Pacific,0.6285367609139704,0.6711206234711088,-0.269283084273643,0.3534249260313722,-0.6312452603962201,-0.6518373848029329
MDG,Sub-Saharan Africa,-0.07424171520370304,0.49688151700489536,-0.19939380684083977,-0.7233456849829052,-0.29538392070184255,-0.21232369106081206
MEX,Latin America & Caribbean,0.8530765744785314,0.7976065583020086,-0.6252850323788065,0.6982369629251072,-0.7835587112385444,-0.7314938580322372
MLI,Sub-Saharan Africa,-5.67393134853539e-6,0.2024960276433876,0.26542128838438434,-0.16341337034708545,-0.45354352277761734,-0.15410719629494962
MRT,Sub-Saharan Africa,0.3052233682051827,-0.03730819125784189,0.3047982910334279,-0.45169966996153543,-0.1508400369711904,-0.5442602460042185
MUS,Sub-Saharan Africa,0.10386191195020252,0.40072367171075574,0.11895290871186362,0.282416329176929,-0.5307143147818054,-0.6422330545523086
MYS,East Asia & Pacific,0.570128960110353,0.7950463317795873,-0.4099274860956202,0.6553805738826584,-0.8759223500170631,-0.7406356364833776
NAM,Sub-Saharan Africa,0.37854585444908967,0.032948403954979784,-0.08960113689655044,0.04249084886404595,-0.7378585949462328,-0.5660210602630237
NER,Sub-Saharan Africa,0.5761174821506247,0.5855939003457714,0.1214515218558719,0.11430153792910841,-0.3142825187349212,-0.3226701886415797
PER,Latin America & Caribbean,0.7065673115066684,0.7453309000323703,-0.5271580563049177,0.3218091192800787,-0.7110331200817573,-0.6027172898610262
PHL,East Asia & Pacific,0.4802069781714308,0.7545320052918937,-0.3822700787957656,0.26256009493002813,-0.2687792776276686,-0.8125547415529215
RWA,Sub-Saharan Africa,0.577721776837075,0.7577575908958976,0.7731382771361839,0.2359517808651874,0.013223154084110202,0.6126024354220493
SDN,Sub-Saharan Africa,0.603840908075016,0.2736922961365942,-0.013388955829114254,0.03397856704069544,-0.39164729504352014,0.10230008265858564
SEN,Sub-Saharan Africa,0.753716351950168,0.24020499872503742,0.22362725779315953,0.21795826429736503,0.03874143249823289,-0.20204286962164444
SGP,East Asia & Pacific,0.5282719168503452,0.4811765541866416,0.013706521752223507,0.20526579714915055,-0.27210917842133775,-0.6716588406039422
SYC,Sub-Saharan Africa,0.33392988388396916,0.3976360159778468,0.008251349285261311,-0.01228716052887478,-0.3557957889061678,-0.5188452033220925
TCD,Sub-Saharan Africa,0.2758371579481288,-0.035690388568326736,0.2965538524297966,0.16165798392381353,-0.6520591474220085,-0.5604869595772212
TGO,Sub-Saharan Africa,0.14744506380964542,0.5697639727061133,0.02509915703813482,-0.42736866866623013,-0.37403073327459535,-0.33439043742625235
THA,East Asia & Pacific,0.7255507049619201,0.8322869724409425,-0.6263534723849118,0.7169728014380358,-0.7133709026326479,-0.8755846814005454
TZA,Sub-Saharan Africa,0.09610318947802801,-0.12102795046298609,0.1557598466358802,0.7511859223188742,-0.42891334354731825,-0.5327665297660181
UGA,Sub-Saharan Africa,0.4825553494319042,0.15284116911699785,-0.07645012947173999,-0.14137579804951875,-0.5444836095262031,-0.21592664437459205
VEN,Latin America & Caribbean,0.4425402770606507,0.8231847987797672,-0.4808437355938022,0.49342496468248637,-0.7753955438009545,-0.7744792818469426
ZAF,Sub-Saharan Africa,0.607309055549595,0.7826814385483483,-0.5901588615377426,0.5381069170305167,-0.7147018314827207,-0.6911367309319754
ZWE,Sub-Saharan Africa,0.5989651724726319,0.18410149657718392,0.269418855801915,-0.26896562485784037,-0.2562624154482239,0.07185820832061521
