Region,acf_Y_mean,acf_Y_sd,acf_C_mean,acf_C_sd,acf_I_mean,acf_I_sd,acf_TB_mean,acf_TB_sd
East Asia & Pacific,0.3330040108585377,0.13921337707577378,0.14851903605502245,0.2483204667417734,0.12645345735443791,0.16799092119591433,0.8385212238954665,0.08180930747540466
Latin America & Caribbean,0.3132427313343393,0.14812657641243065,0.018142926687725672,0.14487531881896037,-0.013499203530404158,0.16955307428175004,0.6936553990979426,0.09509324217663952
Sub-Saharan Africa,0.10294603445888349,0.2449939184973152,-0.08145040321151943,0.1776506633757368,-0.12808899168556856,0.16726931803663372,0.7301462072073731,0.11948553977384553
