Region,sd_Y_mean,sd_Y_sd,sd_C_mean,sd_C_sd,sd_I_mean,sd_I_sd,sd_TB_mean,sd_TB_sd
East Asia & Pacific,3.42388151452644,0.36103313470202086,3.466962621555431,0.9048723925980487,14.010162428168755,2.1892421991048487,3.0240319421663195,0.8726290206799702
Latin America & Caribbean,4.18436458962112,1.0891674140335765,5.438981405336346,2.1268268800418575,15.02123300857566,5.2995961228636,2.845317541610682,1.5969717401675194
Sub-Saharan Africa,4.72594354512783,2.035958449293525,7.3403682424727235,3.308016602782802,19.9420968569186,8.287734366650314,4.517205211433764,2.9555721721131736
