Region,corr_Y_C_mean,corr_Y_C_sd,corr_Y_I_mean,corr_Y_I_sd,corr_Y_TB_mean,corr_Y_TB_sd,corr_C_I_mean,corr_C_I_sd,corr_C_TB_mean,corr_C_TB_sd,corr_I_TB_mean,corr_I_TB_sd
East Asia & Pacific,0.5747879251244596,0.22534843192382634,0.5379646201061553,0.24291852141877623,-0.20278029036605397,0.1435100515474728,0.30070713617501416,0.4156785463953262,-0.4122763098683411,0.2931166378863418,-0.6676817894312673,0.25296904864643577
Latin America & Caribbean,0.7774386612545078,0.14608061563117092,0.786067744863665,0.09774598736237922,-0.13569224701684363,0.2524655042893433,0.5434272570337277,0.1599466196331551,-0.4682275720039173,0.27175792876936133,-0.3078276039447529,0.1601300650799941
Sub-Saharan Africa,0.5175886287868706,0.3211136082547178,0.4996521450288221,0.3039831332608811,-0.0722370694883906,0.3308338022480422,0.19716938627677644,0.3824381234532222,-0.39443689329614906,0.2655533122163975,-0.416728878579795,0.30928309237374413
