Country Code,Region,sd_Y,sd_C,sd_I,sd_TB,sdC_over_sdY,sdI_over_sdY
ARG,Latin America & Caribbean,5.169529430698354,7.156740035060095,15.47957354720642,2.4808034898609255,1.3844084129903653,2.994387352799204
BDI,Sub-Saharan Africa,4.395347758492547,6.2050608747880664,26.867942112243043,3.716544722916887,1.4117337730100765,6.112813726815969
BEN,Sub-Saharan Africa,2.64196526458492,4.436018645758325,14.138934733668224,2.263403371439055,1.6790601697994954,5.351673212058523
BFA,Sub-Saharan Africa,2.2304327187849715,6.2709739244692,15.07695274496628,1.8222249444894336,2.8115503649378466,6.759653684231933
BRA,Latin America & Caribbean,3.827139904204625,5.037809085602038,11.103351664995943,1.465130763737199,1.3163378428019656,2.9012139464244373
BWA,Sub-Saharan Africa,5.7354685217882695,7.361899701630549,18.53357166735511,6.967570232078703,1.2835742491940612,3.2313962838342807
CAF,Sub-Saharan Africa,6.592113121208677,8.165516165042348,21.371682043853227,2.900177001627091,1.2386796183414377,3.2420077827691594
CHL,Latin America & Caribbean,4.847132028890486,6.380477559355918,17.523206700778594,2.6571701567452344,1.3163407807598788,3.615170083326506
CIV,Sub-Saharan Africa,4.487288493198579,5.124717347865338,18.380561613385478,3.341742057133448,1.1420521224861997,4.096139938683472
CMR,Sub-Saharan Africa,5.073114350674895,5.696513672500112,13.20774334481308,2.1685718610727935,1.1228829627588197,2.6034783432500403
COG,Sub-Saharan Africa,6.536400892942798,15.367846447315618,28.81477305867117,13.381260728082683,2.3511174878988723,4.408354617566652
COL,Latin America & Caribbean,2.406371062600623,2.5316719674402264,11.04005135798634,2.2773990944086053,1.0520704835538488,4.5878424693384945
COM,Sub-Saharan Africa,2.6683305302135896,3.212862326193242,4.499547440529293,1.0101466207609349,1.204072092948719,1.686278138926485
GAB,Sub-Saharan Africa,9.187820432562633,11.236657655203643,25.70482512630226,7.899375962270592,1.2229949135030664,2.797706519731445
GHA,Sub-Saharan Africa,3.9844296537673842,5.3719546754370775,17.88222477422352,2.6353746654952603,1.3482367972936231,4.488026224108487
GIN,Sub-Saharan Africa,1.9766225088812424,10.370844502177892,18.48496947230117,7.345492997644927,5.246750178944251,9.351795494205701
GMB,Sub-Saharan Africa,3.1861696553977255,7.6996865539729935,29.991547368393533,3.9013342280330314,2.4165965365117543,9.413041555268258
GNB,Sub-Saharan Africa,4.697067724366652,7.692389077866539,19.742487934938335,7.298951973947801,1.6377002694598732,4.203151645551459
HKG,East Asia & Pacific,3.575947795660562,3.4407856085749775,14.804422328125796,2.8985940941266857,0.9622024160281073,4.139999567692533
IDN,East Asia & Pacific,3.5527245075561877,4.204849697292429,15.956301725853855,2.560184104509642,1.1835563631092856,4.491285967126597
KEN,Sub-Saharan Africa,3.392104187825309,5.3643316529319804,11.412801053660305,2.6992745977206982,1.5814171251535392,3.3645196083959603
KOR,East Asia & Pacific,2.8954339105290097,2.9745876013578436,10.149107718847732,2.6040066035099576,1.0273374192866216,3.5052113197753636
MDG,Sub-Saharan Africa,3.4041975313760973,10.751381713099601,31.72901354900749,2.6356669331654214,3.158271990389909,9.320555947933345
MEX,Latin America & Caribbean,3.110823057521232,3.0163859069366272,8.470685218894069,1.7683919929068939,0.969642390827637,2.722972365276116
MLI,Sub-Saharan Africa,4.162452675171177,5.766204765005399,10.12138169171666,3.6148968819558225,1.3852901678379488,2.431590814735312
MRT,Sub-Saharan Africa,4.430256983049335,10.553602277737705,31.18326974935534,6.8442446899934035,2.382164808523971,7.038704496977503
MUS,Sub-Saharan Africa,5.225423244201136,3.1218647131070396,13.007692890053157,3.4039246669206236,0.5974376748470087,2.489308957793672
MYS,East Asia & Pacific,3.2899525659843194,4.342666305129992,15.786588256923245,4.659224193792185,1.3199783942266996,4.7984242752144555
NAM,Sub-Saharan Africa,2.7630961094793185,8.459954456500947,19.65878200036755,6.075541314363909,3.0617662655589464,7.114765908042221
NER,Sub-Saharan Africa,5.238357114988808,4.905057723855288,30.124967808238566,2.591587867607493,0.93637329723477,5.750842706397448
PER,Latin America & Caribbean,4.80913381253152,5.542614255359094,17.45430156815501,2.999158114262543,1.1525182021170401,3.629406510310241
PHL,East Asia & Pacific,3.047050251528552,1.7012896194887037,14.646065602408518,1.864396540505063,0.558339862834639,4.806637368406157
RWA,Sub-Saharan Africa,8.017112184849024,6.567555507560904,14.311003948458712,5.656375846067337,0.8191921674705345,1.7850572149288457
SDN,Sub-Saharan Africa,4.914756558706925,8.356748341389446,21.1841416516742,2.6266085443808564,1.700338204256471,4.310313521866027
SEN,Sub-Saharan Africa,2.5282804955778038,3.065167932569888,11.202432091214146,2.0018530415683418,1.2123527978525919,4.430850180906839
SGP,East Asia & Pacific,3.891464099864242,3.8912609108189216,11.777447262649163,3.2747385753987417,0.9999477859643296,3.0264823111332397
SYC,Sub-Saharan Africa,5.050374615897699,16.699901246195704,22.948117850134444,6.899125437374994,3.306665844871651,4.543844683896868
TCD,Sub-Saharan Africa,7.512863912911394,9.289230802487365,27.502574124032563,12.22909648152601,1.2364433736811282,3.6607310398325494
TGO,Sub-Saharan Africa,4.844622806647102,8.519361127397424,31.161843943595237,5.1748964922301335,1.758518974007299,6.432253900311783
THA,East Asia & Pacific,3.714597470562208,3.7132986082251485,14.951204102372973,3.3070794833219606,0.9996503356427304,4.024986346666007
TZA,Sub-Saharan Africa,8.419097212392222,6.510024337266004,14.238689787158442,2.476310887176564,0.773244942187362,1.6912371276816065
