Region,acf_Y_mean,acf_Y_sd,acf_C_mean,acf_C_sd,acf_I_mean,acf_I_sd,acf_TB_mean,acf_TB_sd
East Asia & Pacific,0.6273454165123292,0.09069286928565087,0.47509761953281465,0.1478527789047135,0.4986579167955216,0.12876268853321537,0.4542328855167617,0.09800777762473353
Latin America & Caribbean,0.6367298965961464,0.07587397975556102,0.4701666404032471,0.09167833436739989,0.4341055556558331,0.1503917788456844,0.43284681741360603,0.11817853377801851
Sub-Saharan Africa,0.4690944396119458,0.16649489905990383,0.36327425699967075,0.18061253307610386,0.32250591289479785,0.18588058485483647,0.284554813379609,0.1737882374552481
