Country Code,Region,acf_Y,acf_C,acf_I,acf_TB
ARG,Latin America & Caribbean,0.11609353452011678,0.03568987217024729,0.1147043673330109,0.6646864172310474
BDI,Sub-Saharan Africa,-0.019215039732790765,-0.07231054898993908,-0.31351968849125345,0.8608826200897359
BEN,Sub-Saharan Africa,0.01753663936248635,0.054977478371591136,-0.28843496755173176,0.8848359318242055
BFA,Sub-Saharan Africa,-0.1473496504259705,0.027151800147501938,-0.06247692231101535,0.9009400123729511
BRA,Latin America & Caribbean,0.45455538576234455,-0.12157264926710107,0.10828318444271286,0.7969833229852153
BWA,Sub-Saharan Africa,0.44992423932488945,0.1625918870417995,0.19114297329157942,0.895138422370904
CAF,Sub-Saharan Africa,-0.08224822364687326,-0.20689066615650073,-0.2515775510312787,0.6626960461734834
CHL,Latin America & Caribbean,0.2939154622819166,0.13366251807003057,-0.3309511751278245,0.6879690112983202
CIV,Sub-Saharan Africa,0.3235366872250496,0.09922722963076053,-0.05165847265346082,0.6614233019807755
CMR,Sub-Saharan Africa,0.29803633618691433,-0.11363584389410203,-0.0919164773026978,0.5642513557539379
COG,Sub-Saharan Africa,0.44307119726014627,-0.16790757235911527,0.16572893378004416,0.7412046466061323
COL,Latin America & Caribbean,0.4593369404489506,-0.0657633148445051,-0.1343952657359637,0.7220991459407894
COM,Sub-Saharan Africa,-0.07913321937173258,0.042762064037928676,-0.24067863118247332,0.5996212252144001
GAB,Sub-Saharan Africa,0.32837805761111816,-0.23404966518512385,-0.031928442157697426,0.752453352703933
GHA,Sub-Saharan Africa,0.4127878907754569,-0.1572467358900295,0.020257379013265422,0.829616958918255
GIN,Sub-Saharan Africa,-0.0316756093832009,-0.021545722849074925,-0.3212177823080375,0.6950886880404734
GMB,Sub-Saharan Africa,-0.059315053808978,-0.18656213119085124,-0.11027246081477683,0.7617050170259806
GNB,Sub-Saharan Africa,-0.3585956611833873,-0.23999009840459043,-0.23627389570869187,0.5956315707435069
HKG,East Asia & Pacific,0.2492060692825425,0.05303339112285702,0.3926564831023228,0.8540048172898567
IDN,East Asia & Pacific,0.3316710944610731,-0.13536841916763068,-0.09017290891106672,0.6997252459387762
KEN,Sub-Saharan Africa,0.04941162953917131,-0.10626262295726688,-0.18228336609356255,0.7573858376905256
KOR,East Asia & Pacific,0.3287041185161147,0.12938658999915958,-8.532765494251843e-4,0.8826801152708483
MDG,Sub-Saharan Africa,-0.018562238741686814,-0.3114441073640592,0.03139773411044458,0.7273105530561381
MEX,Latin America & Caribbean,0.23257085816212836,-0.0969069811648414,0.010504722434164775,0.7767593396434875
MLI,Sub-Saharan Africa,-0.1973954469336407,-0.14858807074747263,-0.5041115088561648,0.6458947771534453
MRT,Sub-Saharan Africa,-0.03781277362436705,-0.30878010755555874,-0.15825778865584583,0.7978553118593835
MUS,Sub-Saharan Africa,-0.07656068654986721,0.2865870876090247,-0.18098920066911003,0.7499029510874259
MYS,East Asia & Pacific,0.13516948071009594,0.15426033938941922,0.12876391665071543,0.8308402196829096
NAM,Sub-Saharan Africa,0.4264670297193794,-0.15899546339617332,-0.12319533894752688,0.672419468790412
NER,Sub-Saharan Africa,0.09022678558841093,-0.16795022767322323,-0.25732728515302783,0.7343523399967388
PER,Latin America & Caribbean,0.4673437662285819,0.2811743403292107,0.1453211236563966,0.7003780518337276
PHL,East Asia & Pacific,0.5784707647176272,0.6491945029728633,0.29046749798209026,0.809141653545311
RWA,Sub-Saharan Africa,-0.2535598471699876,-0.055528364197954316,-0.38491796746962714,0.49648075921788976
SDN,Sub-Saharan Africa,0.2529366174823893,0.1562905081074964,-0.17160980405435544,0.6886682112905262
SEN,Sub-Saharan Africa,-0.20174529696935212,0.05647832909328224,-0.05521615037659784,0.8781297131297778
SGP,East Asia & Pacific,0.2869188042967207,0.20266378765453535,0.034736682240759674,0.9708828607846446
SYC,Sub-Saharan Africa,-0.006666009932674529,-0.20054132889220203,-0.1187098686699038,0.8673821654312752
TCD,Sub-Saharan Africa,0.11792826590694255,-0.4790535940111389,0.1836462407738861,0.6325524389191782
TGO,Sub-Saharan Africa,0.09948881017282546,-0.27634079770638376,-0.25805549173569187,0.4574476949046659
THA,East Asia & Pacific,0.42088774402559,-0.013536939586046551,0.1295758069656692,0.8223736547559187
TZA,Sub-Saharan Africa,0.06418989485131037,0.1671717143543557,-0.03625912509548967,0.9109851806124998
UGA,Sub-Saharan Africa,0.4788548240072717,-0.09508587030961953,-0.2392250318783223,0.6722347133684277
VEN,Latin America & Caribbean,0.1688831719363359,-0.03928329847896129,-0.007961381715326026,0.5067125047530104
ZAF,Sub-Saharan Africa,0.5326544827990459,0.24617308629540982,0.11172471495682641,0.6997541911286959
ZWE,Sub-Saharan Africa,0.37573243788708943,-0.11566414451587347,-0.004543499010330463,0.8402869659728855
