Region,corr_Y_C_mean,corr_Y_C_sd,corr_Y_I_mean,corr_Y_I_sd,corr_Y_TB_mean,corr_Y_TB_sd,corr_C_I_mean,corr_C_I_sd,corr_C_TB_mean,corr_C_TB_sd,corr_I_TB_mean,corr_I_TB_sd
East Asia & Pacific,0.595168901078255,0.14013396576241166,0.6509936502754238,0.19703305276704286,-0.23874656917865317,0.18899297036664356,0.3377446962147672,0.3222431898727765,-0.2384051267764823,0.15811883325032994,-0.29148379828090415,0.12273530698622744
Latin America & Caribbean,0.634446657947253,0.1496187838864837,0.7224170102314933,0.08266097633890872,-0.05012459156618365,0.2153570716434206,0.39874557185524956,0.301997288043251,-0.25826007219975244,0.11102529831261866,-0.12385315983089851,0.13743705318207403
Sub-Saharan Africa,0.4290378924874732,0.2778946097786014,0.36764770465930735,0.21804287126507987,-0.047208509828434,0.23343425615433003,0.017987796999586275,0.3269974531501234,-0.21174519557985746,0.17089325021941093,-0.1165721065912576,0.17220917672837702
