Country Code,Region,corr_Y_C,corr_Y_I,corr_Y_TB,corr_C_I,corr_C_TB,corr_I_TB
ARG,Latin America & Caribbean,0.8850296984574622,0.870251927181801,-0.7500399398320168,0.8109536088685227,-0.8969020311282067,-0.6873365896071311
BDI,Sub-Saharan Africa,0.7761960184878706,0.20414014496841196,-0.1755514933544942,0.013314664700888117,-0.5659906905340267,-0.3936829883227833
BEN,Sub-Saharan Africa,0.6220871034707254,0.14525148944753893,-0.09165360989973732,-0.19600524117387103,-0.5172034334046097,-0.4462220058409285
BFA,Sub-Saharan Africa,0.5526111840173945,0.11116073535606265,-0.2699823824066139,-0.5570749255763511,-0.347321181885554,-0.2956819410657757
BRA,Latin America & Caribbean,0.5215436223438812,0.7966952284493387,-0.4894534961503714,0.17762914016662543,-0.40073284786201835,-0.4293278026060381
BWA,Sub-Saharan Africa,0.3185861239293504,0.39787907374799464,0.2537224192222597,0.36725799681261323,-0.4876773584765086,-0.6197017964620014
CAF,Sub-Saharan Africa,0.8447189998028904,0.4719413607806255,0.1616938313886744,0.1977372671575547,-0.0749231611396491,-0.2703511777830005
CHL,Latin America & Caribbean,0.8170682297206421,0.6435633144172277,-0.46201333626216606,0.2557721405314884,-0.6818959485884402,-0.4029016666380034
CIV,Sub-Saharan Africa,0.5709983376037736,0.6291802937094066,-0.27683802022220866,0.1934952269594134,-0.8126002364599607,-0.35283790244301777
CMR,Sub-Saharan Africa,0.8349008100201568,0.7447069923658609,-0.2075001467466475,0.48286236623297146,-0.5167704655905042,-0.3819056306137536
COG,Sub-Saharan Africa,0.07140038148006483,0.4844330131507135,0.046985320924040154,0.20650004521141288,-0.5971435779443899,-0.6535686876486835
COL,Latin America & Caribbean,0.7010456095198757,0.6940201874179596,-0.279879677099076,0.6322784276438638,-0.6957319875229766,-0.6589766992187273
COM,Sub-Saharan Africa,0.9477505854704749,0.574086240117581,-0.24125526942273637,0.5504157375664646,-0.4794569109661233,-0.586151659487139
GAB,Sub-Saharan Africa,0.010526253560130304,0.8413769619743571,-0.2287148420547997,0.1019725014872869,-0.6361539501267337,-0.6162020945465516
GHA,Sub-Saharan Africa,0.6310001942894489,0.19745925960669303,-0.12692447281905955,-0.6212174124655387,-0.3192586624393391,-0.2580897197761821
GIN,Sub-Saharan Africa,-0.056650193716862376,-0.06953358781977051,0.31322680084863985,0.46042786215142295,-0.5626371430838423,-0.8269350884379488
