Country Code,Region,corr_Y_C,corr_Y_I,corr_Y_TB,corr_C_I,corr_C_TB,corr_I_TB
ARG,Latin America & Caribbean,0.7946830882181605,0.9165157142818983,-0.3956619929082744,0.7483890186063031,-0.7801326019912553,-0.430147987490322
BDI,Sub-Saharan Africa,0.8194289145666029,0.5357377486053662,-0.1863957951365999,0.4057257447068817,-0.5340658736344904,-0.5612673523668037
BEN,Sub-Saharan Africa,0.6982845342115144,0.12715984682282586,-0.16986103102036773,-0.01678778693712453,-0.5265699885181091,-0.5849128377020639
BFA,Sub-Saharan Africa,0.7204936856737741,0.15455856021814407,-0.5377854917598376,-0.42162694686126545,-0.5069309312490795,-0.3240466940928177
BRA,Latin America & Caribbean,0.8826896131293568,0.8858258046375979,-0.2647759263700453,0.6648517084525416,-0.23711473058680174,-0.2937523022430444
BWA,Sub-Saharan Africa,0.41797082455703194,0.13762532065683247,0.29798889786210314,0.48942408117747355,-0.5125238802484974,-0.7811092457475977
CAF,Sub-Saharan Africa,0.8657269217222892,0.3439197954275359,-0.13013638484947151,0.0958211582316342,-0.35784653131249544,-0.37544470826025633
CHL,Latin America & Caribbean,0.8664177090195716,0.6991746041522499,0.09340030972692652,0.4777834796051241,-0.2931822085441847,-0.0722339415122604
CIV,Sub-Saharan Africa,0.22292841023760257,0.8607479391709242,-0.3996330268745486,0.19074079216348255,-0.7533069794184436,-0.520990289795182
CMR,Sub-Saharan Africa,0.9673613981171727,0.8968125990570897,-0.2689991872667634,0.8474355339448574,-0.4050852154133895,-0.48518073496853437
COG,Sub-Saharan Africa,0.46158653443996545,0.5902153613721679,-0.112489147997927,0.3235938662947819,-0.543628541799644,-0.6575522111600158
COL,Latin America & Caribbean,0.877791342011365,0.7218013728162483,0.05620220155755003,0.5713291156604237,-0.16519564974339487,-0.2772498157434685
COM,Sub-Saharan Africa,0.9582305157463002,0.487108530030354,-0.19329814889821031,0.46820128426980023,-0.40513039400914236,-0.6085447894392111
GAB,Sub-Saharan Africa,0.1654956437447182,0.6958984642106446,-0.09017642692011037,0.051360366389597394,-0.6005862122973351,-0.40857108058844493
GHA,Sub-Saharan Africa,0.7259428893558759,0.19451360210706714,0.17179544721936257,-0.6535219900495315,-0.020116644449394244,0.04090378494039286
GIN,Sub-Saharan Africa,-0.43839807355126736,-0.3399743952903496,0.5667218552865888,0.549804922173759,-0.6571995698505656,-0.847435868337685
GMB,Sub-Saharan Africa,0.177197068011335,0.6660354047309525,-0.5057660205113991,-0.17222447495136503,-0.046618886100199555,-0.6907914047766974
GNB,Sub-Saharan Africa,0.5855996821187922,0.3019219581723943,-0.18321995595683244,0.2568854083512983,-0.5717307239801048,-0.5835565757792587
HKG,East Asia & Pacific,0.8332449779636929,0.698596700678925,-0.2749124123496045,0.5432244487690692,-0.4536227285207232,-0.7672150448878052
IDN,East Asia & Pacific,0.4308727840874005,0.6631221026067744,-0.10549954187990646,-0.17142158855159986,-0.24388578156762356,-0.13180175202738947
KEN,Sub-Saharan Africa,0.6706119037503795,0.8058973114990591,-0.18039202916987912,0.34461601200087166,-0.4335657716498048,-0.3387609600818199
KOR,East Asia & Pacific,0.8197563736139786,0.16657727048359683,0.037711373140584,-0.01936182547345797,-0.2509183919460958,-0.5612150618203247
MDG,Sub-Saharan Africa,0.45942150399217996,0.2982444375641409,-0.18526077406419447,-0.5929062415502855,-0.12751718341560592,-0.3172107242296175
MEX,Latin America & Caribbean,0.487997330744181,0.8070329067387887,0.10551408519654107,0.6479298364625201,-0.7166006139914479,-0.3259130874446464
MLI,Sub-Saharan Africa,0.11434347988559378,0.33414050635251435,0.34944231686895044,-0.1622175937630375,-0.4624554075378588,0.0089690147310326
MRT,Sub-Saharan Africa,0.26852270160999814,0.18671652637246383,0.10714307378359683,-0.12559586309176687,-0.44374130891171276,-0.5787237826312928
MUS,Sub-Saharan Africa,0.4170985591155621,0.7610256408354475,-0.2214623006132753,0.5694580926301972,-0.831087197910273,-0.5882939319189912
MYS,East Asia & Pacific,0.5643185538242609,0.745564569435152,-0.3268547951154235,0.8038618153736574,-0.8963485381194475,-0.8099456963197712
NAM,Sub-Saharan Africa,0.6117923489757959,0.6401114580069915,-0.24597841547459937,0.31520830263074295,-0.6547776672807576,-0.5205290898367398
NER,Sub-Saharan Africa,0.835417141511314,0.6276633623006775,-0.3193330503086046,0.32820008937699197,-0.42987191688870663,-0.617055471730028
PER,Latin America & Caribbean,0.851824297182186,0.6547107082162203,-0.03414874218920784,0.30529864468625806,-0.322262928316991,-0.1878201130412756
PHL,East Asia & Pacific,0.20565303693577544,0.2573478037340602,-0.11580840143152107,0.5100091666764719,-0.4833791756903865,-0.8033057235936318
RWA,Sub-Saharan Africa,0.8885003859129935,0.9011309383126057,0.604828099343148,0.7491443840472999,0.25644543324902414,0.47117218775133074
SDN,Sub-Saharan Africa,0.10221638162465413,0.7660893613274057,0.2976738474170925,-0.28673214997899366,-0.5111282213931561,0.24131001825214587
SEN,Sub-Saharan Africa,0.43505092522603644,0.4583346707144898,-0.29999439784985654,0.03235542629002061,0.10420433503388885,-0.4787490750480992
