Region,sd_Y_mean,sd_Y_sd,sd_C_mean,sd_C_sd,sd_I_mean,sd_I_sd,sd_TB_mean,sd_TB_sd
East Asia & Pacific,2.006684156364413,0.2564816174805462,2.399454660033906,0.7490375754953563,9.412833611009233,1.3634273492213138,2.1291529577429205,0.5714937814708747
Latin America & Caribbean,2.561486407726685,0.8066998468279433,3.710563114984228,1.482977749663395,10.956744939328322,4.681503191914621,2.1254642993310786,1.424239881286738
Sub-Saharan Africa,3.1322841527707563,1.3089177313549503,5.364996072847485,2.6900880626662027,14.512767507317255,5.770580803101725,3.4724682996856915,2.304048631555876
